dataset,C,rho,empirical_rho,mode,pred_len,test_mse,test_mae,best_epoch,seed,batch_size,steps_per_epoch,total_steps
synthetic_ar1,84,0.5,0.4967,CD,96,0.967822,0.782605,4,123,1,7433,29732
synthetic_ar1,84,0.5,0.5095,CD,96,0.947021,0.779009,4,456,1,7433,29732
synthetic_ar1,84,0.5,0.492,DLinear,96,0.958268,0.781898,50,42,32,233,11650
synthetic_ar1,84,0.5,0.4967,DLinear,96,0.977357,0.786639,50,123,32,233,11650
synthetic_ar1,84,0.5,0.5095,DLinear,96,0.955079,0.782218,50,456,32,233,11650
synthetic_ar1,84,0.9,0.8972,CI,96,0.920031,0.770859,2,42,32,233,466
synthetic_ar1,84,0.9,0.8989,CI,96,0.965398,0.778378,2,123,32,233,466
synthetic_ar1,84,0.9,0.9033,CI,96,0.951468,0.782855,1,456,32,233,233
synthetic_ar1,84,0.9,0.8972,CD,96,0.921828,0.772044,1,42,1,7433,7433
synthetic_ar1,84,0.9,0.8989,CD,96,0.967903,0.779125,2,123,1,7433,14866
synthetic_ar1,84,0.9,0.9033,CD,96,0.946033,0.783,1,456,1,7433,7433
synthetic_ar1,84,0.9,0.8972,DLinear,96,0.959023,0.787884,50,42,32,233,11650
synthetic_ar1,84,0.9,0.8989,DLinear,96,0.990633,0.788604,50,123,32,233,11650
synthetic_ar1,84,0.9,0.9033,DLinear,96,0.955731,0.788471,50,456,32,233,11650
synthetic_ar1,7,0.1,0.088813846,CI,96,1.088189933,0.832611435,19,789,128,63,1197
synthetic_ar1,7,0.1,0.110607775,CI,96,0.962470349,0.778840075,23,1011,128,63,1449
synthetic_ar1,7,0.1,0.088813846,CD,96,1.089405002,0.833343349,13,789,64,126,1638
synthetic_ar1,7,0.1,0.110607775,CD,96,0.964394811,0.779555258,14,1011,64,126,1764
synthetic_ar1,7,0.1,0.088813846,DLinear,96,1.088657034,0.832649693,50,789,128,63,3150
synthetic_ar1,7,0.1,0.110607775,DLinear,96,0.963302283,0.778891623,49,1011,128,63,3087
synthetic_ar1,7,0.5,0.486098866,CI,96,1.13037495,0.849877399,6,789,128,63,378
synthetic_ar1,7,0.5,0.502979236,CI,96,0.965641783,0.781009322,18,1011,128,63,1134
synthetic_ar1,7,0.5,0.486098866,CD,96,1.127241183,0.846941529,15,789,64,126,1890
synthetic_ar1,7,0.5,0.502979236,CD,96,0.966701529,0.781130157,15,1011,64,126,1890
synthetic_ar1,7,0.5,0.486098866,DLinear,96,1.123145681,0.84503743,50,789,128,63,3150
synthetic_ar1,7,0.5,0.502979236,DLinear,96,0.966619231,0.780794223,49,1011,128,63,3087
synthetic_ar1,7,0.9,0.897819351,CI,96,1.174650341,0.87079769,5,789,128,63,315
synthetic_ar1,7,0.9,0.899924359,CI,96,1.02443289,0.807085331,5,1011,128,63,315
synthetic_ar1,7,0.9,0.897819351,CD,96,1.172725421,0.870118444,4,789,64,126,504
synthetic_ar1,7,0.9,0.899924359,CD,96,1.025114179,0.807220132,3,1011,64,126,378
synthetic_ar1,7,0.9,0.897819351,DLinear,96,1.202658124,0.87882263,50,789,128,63,3150
synthetic_ar1,7,0.9,0.899924359,DLinear,96,1.05228883,0.815891523,50,1011,128,63,3150
synthetic_ar1,21,0.1,0.098848036,CI,96,1.004605455,0.800815836,50,789,128,63,3150
synthetic_ar1,21,0.1,0.102297357,CI,96,1.004491223,0.799643837,40,1011,128,63,2520
synthetic_ar1,21,0.1,0.098848036,CD,96,1.007627005,0.802045402,10,789,8,1005,10050
synthetic_ar1,21,0.1,0.102297357,CD,96,1.007712116,0.800536494,14,1011,8,1005,14070
synthetic_ar1,21,0.1,0.098848036,DLinear,96,1.00579255,0.801465466,50,789,128,63,3150
synthetic_ar1,21,0.1,0.102297357,DLinear,96,1.006372827,0.800668061,50,1011,128,63,3150
synthetic_ar1,21,0.5,0.501411233,CI,96,1.071330294,0.828860124,27,789,128,63,1701
synthetic_ar1,21,0.5,0.505716707,CI,96,1.036686146,0.811797859,20,1011,128,63,1260
synthetic_ar1,21,0.5,0.501411233,CD,96,1.068202232,0.827629627,7,789,8,1005,7035
synthetic_ar1,21,0.5,0.505716707,CD,96,1.041877711,0.81396642,7,1011,8,1005,7035
synthetic_ar1,21,0.5,0.501411233,DLinear,96,1.069910125,0.828100177,48,789,128,63,3024
synthetic_ar1,21,0.5,0.505716707,DLinear,96,1.041393135,0.814201406,50,1011,128,63,3150
synthetic_ar1,21,0.9,0.902291646,CI,96,1.032167948,0.814739321,4,789,128,63,252
synthetic_ar1,21,0.9,0.900971613,CI,96,1.085538252,0.83747558,6,1011,128,63,378
synthetic_ar1,21,0.9,0.902291646,CD,96,1.021348261,0.810194957,2,789,8,1005,2010
synthetic_ar1,21,0.9,0.900971613,CD,96,1.091611851,0.840550164,2,1011,8,1005,2010
synthetic_ar1,21,0.9,0.902291646,DLinear,96,1.028093366,0.812485796,49,789,128,63,3087
synthetic_ar1,21,0.9,0.900971613,DLinear,96,1.107359271,0.843443779,50,1011,128,63,3150
synthetic_ar1,84,0.1,0.099988609,CI,96,0.988204432,0.791552057,21,789,32,252,5292
synthetic_ar1,84,0.1,0.101984,CI,96,1.003451297,0.798036619,28,1011,32,252,7056
synthetic_ar1,84,0.1,0.099988609,CD,96,0.987727273,0.791365639,9,789,1,8033,72297
synthetic_ar1,84,0.1,0.101984,CD,96,1.003566096,0.798096719,10,1011,1,8033,80330
synthetic_ar1,84,0.1,0.099988609,DLinear,96,0.986528853,0.790848973,46,789,32,252,11592
synthetic_ar1,84,0.1,0.101984,DLinear,96,1.002514078,0.797703531,40,1011,32,252,10080
synthetic_ar1,84,0.5,0.489238621,CI,96,1.022157846,0.804170739,12,789,32,252,3024
synthetic_ar1,84,0.5,0.501350333,CI,96,0.990913855,0.793080309,12,1011,32,252,3024
synthetic_ar1,84,0.5,0.489238621,CD,96,1.018657524,0.80295575,4,789,1,8033,32132
synthetic_ar1,84,0.5,0.501350333,CD,96,1.002241248,0.797647156,4,1011,1,8033,32132
synthetic_ar1,84,0.5,0.489238621,DLinear,96,1.017683722,0.802261978,43,789,32,252,10836
synthetic_ar1,84,0.5,0.501350333,DLinear,96,0.982207344,0.78934018,35,1011,32,252,8820
synthetic_ar1,84,0.9,0.894767865,CI,96,1.048381948,0.814824397,4,789,32,252,1008
synthetic_ar1,84,0.9,0.895380031,CI,96,0.994129475,0.793194549,3,1011,32,252,756
synthetic_ar1,84,0.9,0.894767865,CD,96,1.052506188,0.816472352,1,789,1,8033,8033
synthetic_ar1,84,0.9,0.895380031,CD,96,1.018377794,0.803530041,1,1011,1,8033,8033
synthetic_ar1,84,0.9,0.894767865,DLinear,96,1.044463285,0.812437477,48,789,32,252,12096
synthetic_ar1,84,0.9,0.895380031,DLinear,96,1.021238928,0.804520043,34,1011,32,252,8568
