batch,tokens_C_N,num_heads,num_layers,bound_1layer_GiB,bound_alllayers_GiB,measured_fused_GiB,measured_sec_per_epoch,measured_fused_OOM
8,3531,16,3,2.9725935459136963,8.917780637741089,0.534,894.9,False
128,3531,16,3,47.56149673461914,142.68449020385742,8.134,892.9,False
