dataset,C,rho,gamma,patch_size,mode,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps
leader_follower_var1,21,0.5,0.9,4,CD,42,0.95557576,0.77858864,18,128,104,1872
leader_follower_var1,21,0.5,0.9,4,CD,123,0.99428057,0.79175437,10,128,104,1040
leader_follower_var1,21,0.5,0.9,4,CD,456,0.96999986,0.78462838,13,128,104,1352
leader_follower_var1,21,0.5,0.9,4,CD,789,1.00606944,0.79882887,18,128,104,1872
leader_follower_var1,21,0.5,0.9,4,CD,1011,0.95059712,0.77659598,30,128,104,3120
leader_follower_var1,21,0.5,0.9,4,CI,42,0.95630024,0.77859227,21,128,104,2184
leader_follower_var1,21,0.5,0.9,4,CI,123,0.99260753,0.79106139,10,128,104,1040
leader_follower_var1,21,0.5,0.9,4,CI,456,0.96906196,0.78408675,16,128,104,1664
leader_follower_var1,21,0.5,0.9,4,CI,789,1.00507247,0.79843154,18,128,104,1872
leader_follower_var1,21,0.5,0.9,4,CI,1011,0.95142181,0.77688963,28,128,104,2912
