mode,gamma,seed,epoch,grad_norm_mean,nonfinite_steps,participation_ratio,val_mse
CI,0.0,42,1,0.9857740288689023,0,,1.1792529437018153
CI,0.0,42,2,0.8414029658786835,0,,1.0757418094203695
CI,0.0,42,3,0.9553061051974221,0,,1.0361491795835691
CI,0.0,42,4,1.0114730653308688,0,,1.026192489341755
CI,0.0,42,5,1.1353465867420984,0,,1.0233789194800593
CI,0.0,42,6,1.156686151784564,0,,1.0220342339921193
CI,0.0,42,7,1.184838350803133,0,,1.0227685977533887
CI,0.0,42,8,1.1670831233736068,0,,1.026242245275805
CI,0.0,42,9,1.1998051329264565,0,,1.02532129335204
CI,0.0,42,10,1.2680955377836076,0,,1.0275083994508953
CI,0.0,42,11,1.2591115491730827,0,,1.0234373158703098
CI,0.0,42,12,1.2380237323897225,0,,1.033913841735321
CI,0.0,42,13,1.1816303446179344,0,,1.0244059676132515
CI,0.0,42,14,1.1780638202788338,0,,1.02751008048677
CI,0.0,42,15,1.1752747637884957,0,,1.0247647102164208
CI,0.0,42,16,1.1340374322164626,0,,1.020290126878723
CI,0.0,42,17,1.1164117720392015,0,,1.0178009901212648
CI,0.0,42,18,1.0873877604802449,0,,1.020338293841743
CI,0.0,42,19,1.1142576677458627,0,,1.0146246131639798
CI,0.0,42,20,1.094628527997032,0,,1.016173914475005
CI,0.0,42,21,1.045669002192361,0,,1.019841184596043
CI,0.0,42,22,1.0446823608307612,0,,1.0117564420295357
CI,0.0,42,23,0.961993398174407,0,,1.0131543444077384
CI,0.0,42,24,0.9592479467391968,0,,1.0143189067311922
CI,0.0,42,25,0.9777465803282601,0,,1.0150562336165494
CI,0.0,42,26,0.9428597584603324,0,,1.014781051794618
CI,0.0,42,27,0.9575844028639415,0,,1.0155690041153396
CI,0.0,42,28,0.9521212776501974,0,,1.0166339659156576
CI,0.0,42,29,0.9069635442325047,0,,1.0162214813116275
CI,0.0,42,30,0.898877845870124,0,,1.0136691130546478
CI,0.0,42,31,0.8633371847016471,0,,1.012174205018017
CI,0.0,42,32,0.8636724409602937,0,,1.015612223445389
CI,0.0,123,1,0.9560360473299784,0,,1.148966988792694
CI,0.0,123,2,0.8404545377171229,0,,1.0501829444405164
CI,0.0,123,3,0.9544841997207157,0,,1.0131618118896168
CI,0.0,123,4,1.061308257163517,0,,1.000223935801315
CI,0.0,123,5,1.0395584314588517,0,,1.0015850667984325
CI,0.0,123,6,1.1178215723189096,0,,0.9986951854095961
CI,0.0,123,7,1.1366822426281278,0,,1.0021542014412637
CI,0.0,123,8,1.2189157832236517,0,,0.9983775855627484
CI,0.0,123,9,1.1771568778961423,0,,0.99889818157337
CI,0.0,123,10,1.2736403270373269,0,,1.0009234785922911
CI,0.0,123,11,1.1860618950828674,0,,0.9969589651845945
CI,0.0,123,12,1.2425544990433588,0,,0.9973340816909511
CI,0.0,123,13,1.1848500522356185,0,,0.9974261499458359
CI,0.0,123,14,1.1904821452640353,0,,0.9914655854516704
CI,0.0,123,15,1.2222084280044314,0,,0.9934159928338361
CI,0.0,123,16,1.1831392702602206,0,,0.9878741085667934
CI,0.0,123,17,1.155387332515111,0,,0.989993359465019
CI,0.0,123,18,1.0733759441072979,0,,0.9860457450711073
CI,0.0,123,19,1.1056721948442005,0,,0.9901394118172089
CI,0.0,123,20,1.0622114718906464,0,,0.9877456337803948
CI,0.0,123,21,1.035902812367394,0,,0.9848279147102547
CI,0.0,123,22,1.089334197460659,0,,0.9883648482891378
CI,0.0,123,23,1.0135577103448292,0,,0.9833298321413732
CI,0.0,123,24,0.9661760897863478,0,,0.9831447647537256
CI,0.0,123,25,0.9791662759251065,0,,0.9847532092031893
CI,0.0,123,26,0.939971457398127,0,,0.9882716923051575
CI,0.0,123,27,0.9629198861500573,0,,0.9832544003449745
CI,0.0,123,28,0.8968887281796288,0,,0.9832500801168741
CI,0.0,123,29,0.8911075601502071,0,,0.982168130647735
CI,0.0,123,30,0.9140082474738832,0,,0.9842620637135647
CI,0.0,123,31,0.8894655836953057,0,,0.9810797673277223
CI,0.0,123,32,0.844271064750732,0,,0.9816017170325474
CI,0.0,123,33,0.8710576258008442,0,,0.9825584549025744
CI,0.0,123,34,0.8392823461502318,0,,0.9828145076955844
CI,0.0,123,35,0.833115783948747,0,,0.9820003271234437
CI,0.0,123,36,0.8123319763985891,0,,0.9816552919527632
CI,0.0,123,37,0.7689887010861957,0,,0.9830688555840561
CI,0.0,123,38,0.7939825578341408,0,,0.9818179023378306
CI,0.0,123,39,0.7447625199953715,0,,0.9825223961715864
CI,0.0,123,40,0.7757100775128319,0,,0.9824888095521791
CI,0.0,123,41,0.7354180916907296,0,,0.9818804177774461
CI,0.0,456,1,1.0195078651110332,0,,1.1523392865599185
CI,0.0,456,2,0.8213724484519352,0,,1.053400075435888
CI,0.0,456,3,0.9400773587680998,0,,1.009894157753153
CI,0.0,456,4,1.0145063750327579,0,,0.9976058468841874
CI,0.0,456,5,1.1053998867670696,0,,0.9963239189323075
CI,0.0,456,6,1.0968226960727148,0,,0.9942412655149041
CI,0.0,456,7,1.2080740039310758,0,,0.9990717783632829
CI,0.0,456,8,1.2106581964190044,0,,1.0100834021569198
CI,0.0,456,9,1.2110959698283483,0,,0.9908766602769572
CI,0.0,456,10,1.1787004877650549,0,,0.9921158496818675
CI,0.0,456,11,1.271325136934008,0,,0.9938280375724953
CI,0.0,456,12,1.2248760017137679,0,,0.9963604277580936
CI,0.0,456,13,1.1196673862517825,0,,0.9999989190905226
CI,0.0,456,14,1.216484855091761,0,,0.992451709056322
CI,0.0,456,15,1.120634238871317,0,,0.9870905139820721
CI,0.0,456,16,1.080080901819562,0,,0.991131587832972
CI,0.0,456,17,1.0978360847821311,0,,0.9833090527648587
CI,0.0,456,18,1.1194507517511882,0,,0.9819096125627623
CI,0.0,456,19,1.0611479537827628,0,,0.9869413416545768
CI,0.0,456,20,1.0220945742395189,0,,0.9831964710985673
CI,0.0,456,21,1.0692214369773865,0,,0.9885707325611998
CI,0.0,456,22,0.9997730576802814,0,,0.9906058907479713
CI,0.0,456,23,1.0324084673609053,0,,0.9809112613827611
CI,0.0,456,24,0.9996345497313,0,,0.9917845662711943
CI,0.0,456,25,0.9683178351038978,0,,0.9848378577135228
CI,0.0,456,26,0.9316605007837689,0,,0.994413883689612
CI,0.0,456,27,0.9362078356364417,0,,0.9824947630788273
CI,0.0,456,28,0.8922211177765377,0,,0.979963927766168
CI,0.0,456,29,0.8547590497940306,0,,0.983125932378194
CI,0.0,456,30,0.8626012423681835,0,,0.9857731035569383
CI,0.0,456,31,0.885814630796039,0,,0.9857784740062343
CI,0.0,456,32,0.8367738033097888,0,,0.9814292557090569
CI,0.0,456,33,0.8674709654989696,0,,0.9950550812374738
CI,0.0,456,34,0.8157040297038971,0,,0.9850106429688755
CI,0.0,456,35,0.7908628526188078,0,,0.986261152939921
CI,0.0,456,36,0.8497127010708764,0,,0.9857367890902695
CI,0.0,456,37,0.7904994733749874,0,,0.9833299889925907
CI,0.0,456,38,0.7843630124652197,0,,0.9834152376293218
CI,0.0,789,1,1.0358367704209828,0,,1.2603853271114411
CI,0.0,789,2,0.819262875450982,0,,1.159625209744176
CI,0.0,789,3,0.9131208298698305,0,,1.1160969373531326
CI,0.0,789,4,1.0410080126353674,0,,1.1049259015753428
CI,0.0,789,5,1.0493685499070182,0,,1.1042650191996801
CI,0.0,789,6,1.143302095314813,0,,1.1035566859209038
CI,0.0,789,7,1.1630268040157499,0,,1.1029195392262254
CI,0.0,789,8,1.1618566730665782,0,,1.102442718344533
CI,0.0,789,9,1.2128337905520485,0,,1.1092432108791785
CI,0.0,789,10,1.2209920807490273,0,,1.103920342058953
CI,0.0,789,11,1.2120477377422272,0,,1.106315797721833
CI,0.0,789,12,1.210163999171484,0,,1.104624310782111
CI,0.0,789,13,1.1978398684471372,0,,1.1028601130736335
CI,0.0,789,14,1.1431095041925945,0,,1.099067955285346
CI,0.0,789,15,1.1014863394555592,0,,1.0977531840524375
CI,0.0,789,16,1.147791123579419,0,,1.1010404104930027
CI,0.0,789,17,1.073736356364356,0,,1.0941327817571613
CI,0.0,789,18,1.121285947542342,0,,1.0954648782299894
CI,0.0,789,19,1.0392287846595523,0,,1.0958689883429267
CI,0.0,789,20,1.0441878542067513,0,,1.0927830327027424
CI,0.0,789,21,1.0234044506436302,0,,1.095161797350191
CI,0.0,789,22,1.0871684532316903,0,,1.0932503368073014
CI,0.0,789,23,1.0193868383528695,0,,1.0933990999577075
CI,0.0,789,24,1.0196305825596763,0,,1.092464512207444
CI,0.0,789,25,0.965875336102077,0,,1.0928339547914965
CI,0.0,789,26,0.9619097870493692,0,,1.0923851523109886
CI,0.0,789,27,0.9299593331321837,0,,1.091162766445209
CI,0.0,789,28,0.9159729149606493,0,,1.0941893027524197
CI,0.0,789,29,0.9175043247994923,0,,1.0941549318769248
CI,0.0,789,30,0.8946920784692916,0,,1.0935130830555293
CI,0.0,789,31,0.8677052174295697,0,,1.0941863600871864
CI,0.0,789,32,0.8328689639530484,0,,1.094782974381368
CI,0.0,789,33,0.8788195980919732,0,,1.0929071054256227
CI,0.0,789,34,0.8541086344491868,0,,1.093811028762858
CI,0.0,789,35,0.8357531721629794,0,,1.0933358309502859
CI,0.0,789,36,0.7771025905533443,0,,1.0939976066959267
CI,0.0,789,37,0.7707293260665167,0,,1.0931273552233256
CI,0.0,1011,1,1.056141341489459,0,,1.074733290189701
CI,0.0,1011,2,0.8330696518459018,0,,0.9803865122246839
CI,0.0,1011,3,0.9307918207986015,0,,0.9469031350166551
CI,0.0,1011,4,1.0347593341554915,0,,0.9404100469997172
CI,0.0,1011,5,1.0538313313136025,0,,0.9361622227852499
CI,0.0,1011,6,1.1145529188807048,0,,0.9333770293546917
CI,0.0,1011,7,1.1067507333225675,0,,0.9356108702967548
CI,0.0,1011,8,1.1910448821764144,0,,0.9361627035683298
